time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-01-31T14:41:04.925Z,-21.1629,-68.6966,131.71,4.3,mb,,87,0.747,0.35,us,us6000ddf1,2021-01-31T15:41:46.040Z,"145 km N of Calama, Chile",earthquake,6.9,6.3,0.237,5,reviewed,us,us
2021-01-31T14:31:57.040Z,17.9621,-67.0675,7,2.86,md,23,231,0.0244,0.12,pr,pr2021031006,2021-01-31T15:35:22.040Z,"2 km WSW of La Parguera, Puerto Rico",earthquake,0.6,0.16,0.33,18,reviewed,pr,pr
2021-01-31T13:41:21.820Z,17.901,-66.8975,15,2.5,md,12,234,0.1619,0.13,pr,pr2021031005,2021-01-31T14:00:51.413Z,"Puerto Rico region",earthquake,0.56,0.8,0.07,9,reviewed,pr,pr
2021-01-31T12:13:10.519Z,-3.0178,118.9474,10,4.4,mb,,128,2.139,0.46,us,us6000ddeg,2021-01-31T13:33:05.768Z,"37 km S of Mamuju, Indonesia",earthquake,4.4,1.9,0.135,16,reviewed,us,us
2021-01-31T09:44:41.806Z,-5.4951,133.8417,10,5.1,mww,,55,3.011,0.99,us,us6000dddu,2021-01-31T10:02:41.040Z,"121 km E of Tual, Indonesia",earthquake,6.3,1.9,0.098,10,reviewed,us,us
2021-01-31T09:35:55.440Z,17.9433,-66.8071,14,2.57,md,21,190,0.0788,0.17,pr,pr2021031002,2021-01-31T10:09:48.123Z,"5 km SSE of Indios, Puerto Rico",earthquake,0.62,0.28,0.14,15,reviewed,pr,pr
2021-01-31T09:28:51.342Z,-5.6403,133.6777,10,4.9,mb,,106,3.055,0.76,us,us6000dddp,2021-01-31T09:57:49.624Z,"102 km E of Tual, Indonesia",earthquake,6.1,1.8,0.169,11,reviewed,us,us
2021-01-31T09:20:24.130Z,39.4115,-122.1296667,26.11,2.56,ml,31,45,0.1497,0.18,nc,nc73518845,2021-02-04T23:29:05.612Z,"14km SSE of Willows, CA",earthquake,0.38,0.89,0.196,22,reviewed,nc,nc
2021-01-31T08:42:12.430Z,18.2898,-67.2835,120,3.22,md,12,294,0.1566,0.36,pr,pr2021031001,2021-01-31T09:56:10.821Z,"5 km SW of Stella, Puerto Rico",earthquake,4.37,1.2,0.07,10,reviewed,pr,pr
2021-01-31T05:11:02.963Z,21.7656,145.4551,10,5,mb,,75,6.085,0.63,us,us6000ddct,2021-02-06T05:21:15.128Z,"Mariana Islands region",earthquake,8,1.6,0.042,179,reviewed,us,us
2021-01-31T03:59:26.683Z,-24.2289,-66.9403,168.65,5.1,mb,,29,2.852,0.9,us,us6000ddcd,2021-02-06T02:23:08.152Z,"63 km W of San Antonio de los Cobres, Argentina",earthquake,8.1,6.7,0.025,515,reviewed,us,us
2021-01-31T03:47:31.186Z,44.3183,-115.0502,10,2.5,ml,,59,0.124,0.55,us,us6000ddcb,2021-02-01T16:36:34.470Z,"14 km NW of Stanley, Idaho",earthquake,1.9,1.9,0.074,24,reviewed,us,us
2021-01-31T02:30:06.535Z,-15.6676,167.2216,35,4.4,mb,,134,17.919,1.13,us,us6000deue,2021-02-06T01:51:37.040Z,"17 km SSE of Luganville, Vanuatu",earthquake,10.2,2,0.169,10,reviewed,us,us
2021-01-31T01:33:03.884Z,-22.9561,-179.523,530.6,4.6,mb,,99,6.424,0.73,us,us6000ddbs,2021-01-31T02:04:47.040Z,"south of the Fiji Islands",earthquake,15.5,5.2,0.141,15,reviewed,us,us
2021-01-31T01:16:58.013Z,-7.2142,67.9606,10,4.4,mb,,118,39.813,0.44,us,us6000deud,2021-02-06T01:40:50.040Z,"Mid-Indian Ridge",earthquake,11.9,1.9,0.239,6,reviewed,us,us
2021-01-31T00:34:14.062Z,9.1132,126.468,10,4.9,mb,,116,2.212,0.63,us,us6000ddbf,2021-01-31T00:52:28.040Z,"26 km ENE of La Paz, Philippines",earthquake,5.5,1.9,0.072,60,reviewed,us,us
2021-01-30T23:11:46.507Z,31.669,-104.3871,5,2.6,mb_lg,,59,0.096,0.43,us,us6000ddb6,2021-01-30T23:24:14.040Z,"56 km S of Whites City, New Mexico",earthquake,1.1,1.9,0.128,24,reviewed,us,us
2021-01-30T22:47:39.572Z,31.6635,-104.4055,4.74,2.5,mb_lg,,63,0.081,0.36,us,us6000ddb2,2021-01-30T22:58:17.040Z,"56 km S of Whites City, New Mexico",earthquake,1.1,4.2,0.154,26,reviewed,us,us
2021-01-30T18:40:59.500Z,17.9001,-66.871,14,2.78,md,13,226,0.0754,0.09,pr,pr2021030016,2021-01-30T19:01:07.337Z,"8 km SSE of Guánica, Puerto Rico",earthquake,0.45,0.49,0.11,4,reviewed,pr,pr
2021-01-30T17:59:32.000Z,17.947,-66.9141,10,2.61,md,20,196,0.0448,0.26,pr,pr2021030015,2021-01-30T19:00:51.297Z,"2 km SSW of Guánica, Puerto Rico",earthquake,0.48,0.55,0.34,18,reviewed,pr,pr
2021-01-30T17:23:27.221Z,26.8555,53.959,10,4.3,mb,,76,2.776,0.97,us,us6000dd9y,2021-01-30T20:10:54.040Z,"33 km N of Kīsh, Iran",earthquake,7.5,1.9,0.084,46,reviewed,us,us
2021-01-30T17:09:35.600Z,17.9445,-66.9295,6,2.64,md,20,195,0.0589,0.14,pr,pr2021030012,2021-01-30T19:59:39.040Z,"3 km SW of Guánica, Puerto Rico",earthquake,0.4,0.24,0.25,9,reviewed,pr,pr
2021-01-30T16:26:51.710Z,44.316,-115.0821667,6.11,2.5,ml,12,78,0.134,0.28,mb,mb80485659,2021-02-02T00:54:30.900Z,"15 km NW of Stanley, Idaho",earthquake,0.6,1.28,0.151,14,reviewed,mb,mb
2021-01-30T16:10:51.310Z,32.7525,-115.8276667,10.12,2.67,ml,65,78,0.1286,0.29,ci,ci39536127,2021-02-03T17:36:33.820Z,"16km E of Ocotillo, CA",earthquake,0.25,0.55,0.214,25,reviewed,ci,ci
